CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
405,63721fcb-9f5f-4290-8606-0e0544a5bb72,VALID,Lappeenranta,Villmanstrand,Lappeenranta,,,2018-01-01,2018-12-31
407,63f28a3c-e234-4a3c-bd86-48563a2ce0e8,VALID,Lapinjärvi,Lappträsk,Lapinjärvi,,,2018-01-01,2018-12-31
408,297b7abb-ed15-4d65-a065-d53313864832,VALID,Lapua,Lappo,Lapua,,,2018-01-01,2018-12-31
410,e4c9ede9-51f8-4dad-b62d-c4307b477fbb,VALID,Laukaa,Laukaa,Laukaa,,,2018-01-01,2018-12-31
416,1bfdeec9-2d7f-4025-9ab0-fe4d6ad9c429,VALID,Lemi,Lemi,Lemi,,,2018-01-01,2018-12-31
417,781a8326-233f-4fd0-98bd-1a088fefff47,VALID,Lemland,Lemland,Lemland,,,2018-01-01,2018-12-31
418,c46e670a-82d7-4eeb-a788-e1c40d4538e8,VALID,Lempäälä,Lempäälä,Lempäälä,,,2018-01-01,2018-12-31
420,73e2dafa-c33f-43cf-b2f6-f9ad889012ee,VALID,Leppävirta,Leppävirta,Leppävirta,,,2018-01-01,2018-12-31
421,391593d6-d719-43f1-ae80-0cb0534e54de,VALID,Lestijärvi,Lestijärvi,Lestijärvi,,,2018-01-01,2018-12-31
422,128dfac8-060f-412b-8c37-9a21d67a56ea,VALID,Lieksa,Lieksa,Lieksa,,,2018-01-01,2018-12-31
423,5bf2fcb0-ed45-4e88-a0c4-829090e0c1db,VALID,Lieto,Lundo,Lieto,,,2018-01-01,2018-12-31
425,88603caa-6bda-4769-8509-5f87b464fd01,VALID,Liminka,Limingo,Liminka,,,2018-01-01,2018-12-31
426,765a30a9-53c7-4f72-8c20-bb5a474e1f6c,VALID,Liperi,Liperi,Liperi,,,2018-01-01,2018-12-31
430,44723137-6e66-4eb1-b046-aa0aa6c9e2e3,VALID,Loimaa,Loimaa,Loimaa,,,2018-01-01,2018-12-31
433,5f8a5a86-fc3c-4dfe-916d-d29878699892,VALID,Loppi,Loppi,Loppi,,,2018-01-01,2018-12-31
434,7b3b711e-e79d-4654-a4cf-9d71b7fca759,VALID,Loviisa,Lovisa,Loviisa,,,2018-01-01,2018-12-31
435,5d8642df-9744-4a51-ab6f-7213889e25b5,VALID,Luhanka,Luhanka,Luhanka,,,2018-01-01,2018-12-31
436,fd5e9ccc-3e9b-4aeb-83bf-a0868788e27f,VALID,Lumijoki,Lumijoki,Lumijoki,,,2018-01-01,2018-12-31
438,5993a419-c492-42a9-92b8-6ba2d6e632a0,VALID,Lumparland,Lumparland,Lumparland,,,2018-01-01,2018-12-31
440,b9005df9-5446-4076-b76f-766e1cab3581,VALID,Luoto,Larsmo,Larsmo,,,2018-01-01,2018-12-31
441,5dbefd89-0a3c-4795-b4ee-bebba0d0a23b,VALID,Luumäki,Luumäki,Luumäki,,,2018-01-01,2018-12-31
444,31904ab0-fc88-4486-ae07-98183e4bcedf,VALID,Lohja,Lojo,Lohja,,,2018-01-01,2018-12-31
445,b41f7268-6f5c-4636-ad7c-12dae3061438,VALID,Parainen,Pargas,Pargas,,,2018-01-01,2018-12-31
475,8003c804-73a3-41cd-a9af-983259565392,VALID,Maalahti,Malax,Malax,,,2018-01-01,2018-12-31
478,46ef2e0c-2b95-4410-a0b8-2de8b3ddb0d4,VALID,Maarianhamina - Mariehamn,Mariehamn,Mariehamn,,,2018-01-01,2018-12-31
480,7af9714a-a917-434f-a317-994fa053755a,VALID,Marttila,Marttila,Marttila,,,2018-01-01,2018-12-31
481,74009ceb-894e-41c5-90f4-fcaaa1448d18,VALID,Masku,Masku,Masku,,,2018-01-01,2018-12-31
483,7c294873-00eb-48be-9aeb-0608209aa41a,VALID,Merijärvi,Merijärvi,Merijärvi,,,2018-01-01,2018-12-31
484,65423577-8a0c-450f-8cb6-6f98647c264a,VALID,Merikarvia,Sastmola,Merikarvia,,,2018-01-01,2018-12-31
489,109cdd4b-13f2-4694-830f-da8f129f3e44,VALID,Miehikkälä,Miehikkälä,Miehikkälä,,,2018-01-01,2018-12-31
491,1dc5ce46-dba3-4ae8-8de4-4525cc8d6342,VALID,Mikkeli,S:t Michel,Mikkeli,,,2018-01-01,2018-12-31
494,635280e3-4417-4033-86d7-23139a4585cf,VALID,Muhos,Muhos,Muhos,,,2018-01-01,2018-12-31
495,996bee5c-b5ab-4221-afc6-84d8b2fd89fc,VALID,Multia,Multia,Multia,,,2018-01-01,2018-12-31
498,bb888e1f-31aa-4862-9725-91beb1006641,VALID,Muonio,Muonio,Muonio,,,2018-01-01,2018-12-31
499,9d0ca528-4629-465a-a65d-958fb017f237,VALID,Mustasaari,Korsholm,Korsholm,,,2018-01-01,2018-12-31
500,611b1d05-57ed-4bd6-8a43-31294b581629,VALID,Muurame,Muurame,Muurame,,,2018-01-01,2018-12-31
503,4629918b-e3fa-4cae-b5e4-df2b8a664a91,VALID,Mynämäki,Mynämäki,Mynämäki,,,2018-01-01,2018-12-31
504,2004b0cb-b67e-4d44-8d7e-03465f46e898,VALID,Myrskylä,Mörskom,Myrskylä,,,2018-01-01,2018-12-31
505,23e9bb4c-297f-407d-b745-728e2d647918,VALID,Mäntsälä,Mäntsälä,Mäntsälä,,,2018-01-01,2018-12-31
507,52830203-574f-4204-a124-96512873dce3,VALID,Mäntyharju,Mäntyharju,Mäntyharju,,,2018-01-01,2018-12-31
508,d68cf3d6-0131-4543-bc8a-f9d17e3dcc67,VALID,Mänttä-Vilppula,Mänttä-Vilppula,Mänttä-Vilppula,,,2018-01-01,2018-12-31
529,1bc5886f-329e-4313-b2d6-be024c165a32,VALID,Naantali,Nådendal,Naantali,,,2018-01-01,2018-12-31
531,0e71ccc6-62cf-4ec8-98e2-1c78c3897fa5,VALID,Nakkila,Nakkila,Nakkila,,,2018-01-01,2018-12-31
535,08df7fff-89a4-4f04-91f8-0e8dfb189c0c,VALID,Nivala,Nivala,Nivala,,,2018-01-01,2018-12-31
536,1f53924c-af06-4204-93f1-0b455cc248cb,VALID,Nokia,Nokia,Nokia,,,2018-01-01,2018-12-31
538,089f8cef-9d10-4fa0-9897-5d194e715644,VALID,Nousiainen,Nousis,Nousiainen,,,2018-01-01,2018-12-31
541,acfba767-cc1c-4104-aa33-5a0432b2425b,VALID,Nurmes,Nurmes,Nurmes,,,2018-01-01,2018-12-31
543,5a64acfa-a349-41bd-b8d0-695e336753e8,VALID,Nurmijärvi,Nurmijärvi,Nurmijärvi,,,2018-01-01,2018-12-31
545,9da60b46-db4b-473e-bf17-7ac977d57384,VALID,Närpiö,Närpes,Närpes,,,2018-01-01,2018-12-31
560,93983e2e-634a-4dcf-baaa-3d4f91f43b5d,VALID,Orimattila,Orimattila,Orimattila,,,2018-01-01,2018-12-31
561,c7afe513-2603-4017-960b-abb588adccb1,VALID,Oripää,Oripää,Oripää,,,2018-01-01,2018-12-31
562,1dd20a98-2418-492e-b8bb-1f85831669fb,VALID,Orivesi,Orivesi,Orivesi,,,2018-01-01,2018-12-31
563,b2bd5708-67d3-452c-a76e-501d8ec6accf,VALID,Oulainen,Oulainen,Oulainen,,,2018-01-01,2018-12-31
564,8b9faa30-b836-4a52-badd-97012d73fef2,VALID,Oulu,Uleåborg,Oulu,,,2018-01-01,2018-12-31
576,6189b642-9432-48ce-9511-e662f19d6381,VALID,Padasjoki,Padasjoki,Padasjoki,,,2018-01-01,2018-12-31
577,8b23eaf1-7f99-40af-b19e-36d1262161d0,VALID,Paimio,Pemar,Paimio,,,2018-01-01,2018-12-31
578,1c4d40cd-0842-41cf-9a5d-8cadb1dfe259,VALID,Paltamo,Paltamo,Paltamo,,,2018-01-01,2018-12-31
580,3e6b8405-e9f4-4a88-91d9-23ae495fcd68,VALID,Parikkala,Parikkala,Parikkala,,,2018-01-01,2018-12-31
581,68128cfb-7cb7-4256-9454-58186c620b0b,VALID,Parkano,Parkano,Parkano,,,2018-01-01,2018-12-31
583,4683a4dc-76b0-4f74-843e-2c06fdb12b11,VALID,Pelkosenniemi,Pelkosenniemi,Pelkosenniemi,,,2018-01-01,2018-12-31
584,26bd237a-0625-41a5-bfa2-cf3b9e44c712,VALID,Perho,Perho,Perho,,,2018-01-01,2018-12-31
588,cab20e35-71ec-4430-8337-fe213fa14bef,VALID,Pertunmaa,Pertunmaa,Pertunmaa,,,2018-01-01,2018-12-31
592,615ab142-93d8-4be7-b46f-0b56c988da27,VALID,Petäjävesi,Petäjävesi,Petäjävesi,,,2018-01-01,2018-12-31
593,c59ff00f-032a-4ebb-9a9b-dfb8c9cbfce1,VALID,Pieksämäki,Pieksämäki,Pieksämäki,,,2018-01-01,2018-12-31
595,69ae93b1-01d5-4105-97a3-8eaa849cbe78,VALID,Pielavesi,Pielavesi,Pielavesi,,,2018-01-01,2018-12-31
598,a1a42201-97f6-417c-84cb-16d1d2518345,VALID,Pietarsaari,Jakobstad,Jakobstad,,,2018-01-01,2018-12-31
599,b2a41258-8cb5-43b4-ad17-1d5a085d794c,VALID,Pedersören kunta,Pedersöre,Pedersöre,,,2018-01-01,2018-12-31
601,5a3ea09b-7c85-4792-bdc7-03fc339e1e5e,VALID,Pihtipudas,Pihtipudas,Pihtipudas,,,2018-01-01,2018-12-31
