CODEVALUE,ID,STATUS,HIERARCHYLEVEL,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
xmf,,INVALID,,Mingrelian,mingreli,,,,,,,,,,
xog,,INVALID,,Soga,soga,,,,,,,,,,
yao,,INVALID,,Yao,jao,,,,,,,,,,
yap,,INVALID,,Yapese,japi,,,,,,,,,,
yav,,INVALID,,Yangben,yangben,,,,,,,,,,
ybb,,INVALID,,Yemba,yemba,,,,,,,,,,
yi,,INVALID,,Yiddish,jiddiš,,,,,,,,,,
yo,,INVALID,,Yoruba,joruba,,,,,,,,,,
yrl,,INVALID,,Nheengatu,ñeengatú,,,,,,,,,,
yue,,INVALID,,Cantonese,kantoninkiina,,,,,,,,,,
za,,INVALID,,Zhuang,zhuang,,,,,,,,,,
zap,,INVALID,,Zapotec,zapoteekki,,,,,,,,,,
zbl,,INVALID,,Blissymbols,blisskieli,,,,,,,,,,
zea,,INVALID,,Zeelandic,seelanti,,,,,,,,,,
zen,,INVALID,,Zenaga,zenaga,,,,,,,,,,
zgh,,INVALID,,Standard Moroccan Tamazight,vakioitu tamazight,,,,,,,,,,
zh,,INVALID,,Chinese,kiina,,,,,,,,,,
zh_Hans,,INVALID,,Simplified Chinese,yksinkertaistettu kiina,,,,,,,,,,
zh_Hant,,INVALID,,Traditional Chinese,perinteinen kiina,,,,,,,,,,
zu,,INVALID,,Zulu,zulu,,,,,,,,,,
zun,,INVALID,,Zuni,zuni,,,,,,,,,,
zxx,,INVALID,,No linguistic content,ei kielellistä sisältöä,,,,,,,,,,
zza,,INVALID,,Zaza,zaza,,,,,,,,,,
